,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
136,Academy of Salon and Spa,Fort Smith,AR,academysalonspa.com,1,1,3,,0.0,,20373.0,,,,3,,53.0,,17484.0
137,Arkansas State University Mid-South,West Memphis,AR,asumidsouth.edu,1,2,1,,0.0,15083.0,,2746.0,4186.0,0.4578,2,3122164.0,525.0,8814.0,
138,Arkansas Northeastern College,Blytheville,AR,anc.edu,1,2,1,,0.0,10511.0,,2458.0,4138.0,1.0,2,3731780.0,786.0,4117.0,
139,New Tyler Barber College Inc,North Little Rock,AR,newtylerbarbercollege.edu,1,1,3,,0.0,,16500.0,,,,3,,33.0,,11054.0
140,North Arkansas College,Harrison,AR,northark.edu,1,2,1,,0.0,15648.0,,3090.0,5940.0,0.5113,2,4975226.0,1161.0,9786.0,
141,Northwest Technical Institute,Springdale,AR,nwti.edu,1,1,1,,0.0,16765.0,,4450.0,4450.0,,3,,155.0,12673.0,
142,Ouachita Baptist University,Arkadelphia,AR,obu.edu,3,4,2,0.7375,0.0,41491.0,,30140.0,30140.0,0.95,1,120694205.0,1572.0,,20847.0
143,Arkansas State University Three Rivers,Malvern,AR,asutr.edu,1,2,1,,0.0,10098.0,,3458.0,5882.0,0.5417,2,,424.0,3716.0,
144,Ozarka College,Melbourne,AR,ozarka.edu,1,2,1,,0.0,11266.0,,3004.0,5356.0,0.4474,2,2023940.0,627.0,4901.0,
145,University of the Ozarks,Clarksville,AR,ozarks.edu,3,3,2,0.5537,0.0,34732.0,,24950.0,24950.0,0.7969,1,112268256.0,775.0,,14486.0
146,University of Arkansas Community College-Morrilton,Morrilton,AR,uaccm.edu,1,2,1,1.0,0.0,13628.0,,3216.0,4128.0,1.0,2,275220.0,1586.0,7391.0,
147,Philander Smith College,Little Rock,AR,philander.edu,3,3,2,,0.0,25960.0,,13014.0,13014.0,1.0,1,9672116.0,709.0,,14847.0
148,Phillips Community College of the University of Arkansas,Helena,AR,pccua.edu,1,2,1,,0.0,10574.0,,3020.0,4910.0,0.7571,2,,611.0,4078.0,
149,Southeast Arkansas College,Pine Bluff,AR,seark.edu,1,2,1,,0.0,13136.0,,3855.0,6735.0,0.6486,2,586763.0,808.0,7662.0,
